Day,FB Spent,Google Spent,Total Amount Spent,FB Purchase Conversion Value,Google Purchase Conversion Value,Total Purchase Conversion Value,ROAS,Daily Shopify Sales,MER
2026-02-08,16.10,55.84,71.94,0.00,239.65,239.65,3.33,297.81,4.14
2026-02-09,16.12,45.85,61.97,0.00,45.83,45.83,0.74,413.96,6.68
2026-02-10,1.87,87.89,89.76,0.00,187.75,187.75,2.09,387.95,4.32
2026-02-11,0.00,62.13,62.13,0.00,147.85,147.85,2.38,1092.07,17.58
2026-02-12,0.00,71.16,71.16,0.00,985.51,985.51,13.85,1170.92,16.45
2026-02-13,17.31,75.47,92.78,0.00,108.85,108.85,1.17,679.63,7.33
2026-02-14,14.43,66.64,81.07,0.00,1203.89,1203.89,14.85,741.73,9.15
2026-02-15,23.26,96.15,119.41,0.00,465.07,465.07,3.89,379.66,3.18
2026-02-16,61.03,146.54,207.57,41.70,880.55,922.25,4.44,1845.10,8.89
2026-02-17,55.76,178.05,233.81,39.85,229.76,269.61,1.15,924.68,3.95
2026-02-18,63.90,155.16,219.06,183.60,1098.47,1282.07,5.85,1811.50,8.27
2026-02-19,74.51,162.62,237.13,1347.03,1027.02,2374.05,10.01,5708.23,24.07
2026-02-20,104.41,226.84,331.25,30.75,294.12,324.87,0.98,1396.56,4.22
2026-02-21,106.60,165.28,271.88,72.90,387.78,460.68,1.69,1507.48,5.54
2026-02-22,122.03,257.17,379.20,2001.43,187.30,2188.73,5.77,2702.14,7.13
2026-02-23,160.95,231.11,392.06,3216.65,290.30,3506.95,8.94,1168.34,2.98
2026-02-24,304.58,280.81,585.39,2061.27,367.79,2429.06,4.15,4289.14,7.33
2026-02-25,388.99,240.74,629.73,882.38,381.92,1264.30,2.01,2160.42,3.43
2026-02-26,392.09,255.53,647.62,1581.89,370.93,1952.82,3.02,2493.14,3.85
2026-02-27,339.35,261.25,600.60,669.12,587.32,1256.44,2.09,2462.74,4.10
2026-02-28,354.58,245.03,599.61,1305.12,939.15,2244.27,3.74,5679.93,9.47
2026-03-01,391.27,231.95,623.22,1348.79,513.23,1862.02,2.99,3230.57,5.18
2026-03-02,344.41,183.28,527.69,2224.97,439.62,2664.59,5.05,4434.64,8.40
2026-03-03,357.09,269.15,626.24,887.93,3958.71,4846.64,7.74,3246.60,5.18
2026-03-04,406.85,219.51,626.36,1553.69,1548.76,3102.45,4.95,3856.81,6.16
2026-03-05,423.11,293.74,716.85,3163.39,233.35,3396.74,4.74,3999.30,5.58
2026-03-06,335.77,155.44,491.21,1466.39,1054.80,2521.19,5.13,3888.88,7.92
2026-03-07,218.69,133.13,351.82,1597.30,767.32,2364.62,6.72,2868.37,8.15
2026-03-08,269.99,136.85,406.84,1744.54,419.78,2164.32,5.32,2463.32,6.05
2026-03-09,316.54,127.11,443.65,688.89,1314.18,2003.07,4.51,2509.35,5.66
2026-03-10,366.09,107.12,473.21,1122.61,1199.50,2322.11,4.91,4540.59,9.60
2026-03-11,311.05,175.55,486.60,2841.15,477.30,3318.45,6.82,3081.43,6.33
2026-03-12,252.66,230.93,483.59,497.82,237.70,735.52,1.52,2462.19,5.09
2026-03-13,278.52,267.56,546.08,887.23,286.33,1173.56,2.15,2159.52,3.95
2026-03-14,270.87,180.50,451.37,467.03,520.08,987.11,2.19,1519.31,3.37
2026-03-15,299.55,254.27,553.82,1393.27,1139.87,2533.14,4.57,2831.93,5.11
2026-03-16,295.17,241.22,536.39,1061.03,617.37,1678.40,3.13,2090.56,3.90
2026-03-17,193.39,261.10,454.49,3301.56,955.92,4257.48,9.37,4707.34,10.36
