Day,Currency code,Cost,Conversions,Cost / conv.,Conv. value,Value / conv.,Clicks,Impr.,CTR,Avg. CPC,View-through conv.,Conv. rate
2026-03-01,USD,302.08,6.00,50.35,708.00,118.00,99,6838,1.45%,3.05,11,4.41%
2026-03-02,USD,344.88,4.00,86.22,364.50,91.13,96,6538,1.47%,3.59,2,2.53%
2026-03-03,USD,312.49,2.00,156.25,78.50,39.25,92,6732,1.37%,3.40,0,1.27%
2026-03-04,USD,509.27,1.00,509.27,177.00,177.00,126,6866,1.84%,4.04,0,0.51%
2026-03-05,USD,357.58,1.00,357.58,29.50,29.50,116,6090,1.90%,3.08,0,0.50%
2026-03-06,USD,368.88,4.00,92.22,420.00,105.00,109,5299,2.06%,3.38,0,2.34%
2026-03-07,USD,236.43,4.00,59.11,552.00,138.00,65,5071,1.28%,3.64,4,3.92%
2026-03-08,USD,239.32,2.00,119.66,295.00,147.50,62,4391,1.41%,3.86,0,2.11%
2026-03-09,USD,310.06,3.00,103.35,265.50,88.50,64,4935,1.30%,4.84,4,2.59%
2026-03-10,USD,227.34,6.00,37.89,574.00,95.67,42,2944,1.43%,5.41,0,9.38%
2026-03-11,USD,219.91,4.00,54.98,472.00,118.00,31,3003,1.03%,7.09,0,5.71%
2026-03-12,USD,166.24,4.00,41.56,472.00,118.00,48,2860,1.68%,3.46,17,5.56%
2026-03-13,USD,177.75,5.00,35.55,689.00,137.80,44,3497,1.26%,4.04,0,5.62%
2026-03-14,USD,204.32,5.00,40.86,541.50,108.30,35,3404,1.03%,5.84,1,7.14%
2026-03-15,USD,129.81,3.00,43.27,590.00,196.67,28,4010,0.70%,4.64,0,4.55%
