Product title,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales
Lion's Mane Liquid Extract: Natural Support for Focus Memory & Clear Thinking,615,99927.5,-36299.16,0,63628.34,0,0,0,1177.34,64805.68
"Immortal" Premium Reishi Mushroom Extract,179,16632.1,-10177.8,0,6454.3,0,0,0,69.53,6523.83
Premium Cordyceps Mushroom Extract,213,18362.9,-12168,0,6194.9,0,0,0,91.93,6286.83
+3 Lion's Mane Extracts Special (53% Savings),34,7080,-3752.4,-166.38,3161.22,0,0,0,89.14,3250.36
4 Lion's Mane Extracts for the Price of 2 (50% Savings),22,3186,-338.1,0,2847.9,0,0,0,38.31,2886.21
Top Sellers Bundle (Lion's Mane Cordyceps and Reishi),19,3267,-861.3,0,2405.7,0,0,0,57.49,2463.19
"Healer" Mushroom Extract,110,8796.4,-6454.6,0,2341.8,0,0,0,30.1,2371.9
"Defend" Premium Chaga Mushroom Extract,79,6432.8,-4332.4,0,2100.4,0,0,0,24.76,2125.16
50% Off The Most Potent Lions Mane Extracts on the Market,8,944,0,0,944,0,0,0,34.35,978.35
+3 Cordyceps Extracts (SAVE 53%),10,1917,-1016.01,0,900.99,0,0,0,32.83,933.82
Top 5 Mushroom Extracts Bundle,5,900,-35,0,865,0,0,0,0,865
ALL 6 Premium Mushroom Extracts,1,720,-360,0,360,0,0,0,21.6,381.6
"Pulse" Premium Shiitake Mushroom Extract,9,873.2,-607.7,0,265.5,0,0,0,0,265.5
+3 Immortal Reishi Extracts (53% Special Savings),3,531,-281.43,0,249.57,0,0,0,5.08,254.65
4 Cordyceps for the Price of 2 (50% Savings),2,236,0,0,236,0,0,0,0,236
Luke The Lion Peak Performance Bundle,1,118,0,0,118,0,0,0,10.27,128.27
+3 Lion's Mane Extracts (New Customer Special),1,61.5,0,0,61.5,0,0,0,0,61.5
"Pulse" Premium Shiitake Mushroom Extract - GIFT,6,413,-354,0,59,0,0,0,0,59
+1 Immortal Reishi Extract (New Customer Special),1,58,0,0,58,0,0,0,0,58
,0,0,0,-1089.69,-1089.69,801.63,0,0,6.87,-281.19
