"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"LogOX 3-in-1 Forestry MultiTool","LogOX","Tool",112,33177.2,-1890.09,-291,30996.11,54.19,31050.3
"TimberOX Summit 30-Ton Log Splitter","TimberOX",,3,17985,0,0,17985,0,17985
"LogOX Forester Package","LogOX","Tool",20,7900,-641.14,0,7258.86,51.35,7310.21
"LogOX Hauler","LogOX","Tool",29,5655,-657.5,0,4997.5,26.09,5023.59
"The Woodsman Bundle","LogOX",,5,1644.75,-52.89,0,1591.86,0,1591.86
"TimberOX Summit Dan-D-Lift Manual Log Lift","LogOX",,1,850,-85.01,0,764.99,0,764.99
"PickOX Pickaroon Attachment","LogOX","Tool",12,599.4,-14.25,0,585.15,9.49,594.64
"Granberg Precision Grinder (12V) Bar Mounted Chainsaw Sharpener G1012XT","Granberg International","Tool",3,327,0,0,327,0,327
"LogOX 3-in-1 Forestry MultiTool $249","LogOX","Tool",1,289,0,0,289,16.86,305.86
"TW Series 4-Way Wedge","TimberOX",,1,295,0,0,295,0,295
"LogOX Forester Package Upgrade","LogOX",,2,270,-54,0,216,0,216
"WoodOX Sling*","LogOX","copy",2,179.9,-1.86,0,178.04,0,178.04
"Bigfoot Timberjack Attachment and Swing-Lock Pins","LogOX",,3,165,0,0,165,0,165
"LogOX Professional Work Belt","LogOX","Accessory",3,134.85,0,0,134.85,0,134.85
"CarryOX Gear Bag","LogOX","Tool",2,129.9,-6.49,0,123.41,0,123.41
"LogOX Cant Handle Extension","LogOX","Accessory",4,159.8,-47.79,0,112.01,0,112.01
"LogOX Hauler Holster","LogOX","Tool",3,119.85,-15.98,0,103.87,0,103.87
"The Woodhaven 2ft Firewood Rack","The Woodhaven","Firewood Storage",1,94,0,0,94,0,94
"WoodOX Sling","LogOX",,1,89.95,0,0,89.95,0,89.95
"LogOX Hauler Upgrade Package","LogOX","Accessory",1,94.95,-9.49,0,85.46,0,85.46
"The Mingo Marker (All Wheel Bundle)","The Mingo Marker",,1,60.99,0,0,60.99,0,60.99
"The Mingo Bundle","The Mingo Marker",,1,59.99,0,0,59.99,0,59.99
"PICKOX TIP REPLACEMENT","LogOX","Accessory",7,48.65,-1.33,0,47.32,0,47.32
"Set of (3) LogOX Swing-Lock Connection Pins","LogOX","Tool",5,47.5,-0.95,0,46.55,0,46.55
"Chain Locker Original","Chain Locker USA","Chainsaw Chain Storage Case",1,38,-1.16,0,36.84,0,36.84
"The Mingo Marker","The Mingo Marker",,1,37.99,-1.16,0,36.83,0,36.83
"LogOX Can Coolers (4 pack)","LogOX","Accessory",1,4.95,0,0,4.95,0,4.95
"LogOX Hat","LogOX",,4,0,0,0,0,0,0
"Team LogOX Hat","LogOX","Accessory",1,25,-25,0,0,0,0
"LogOX Made in USA Sticker","LogOX","sticker",4,12,-12,0,0,0,0
"LogOX Can Cooler","LogOX","Accessory",91,0,0,0,0,0,0
"LogOX 3-in-1 Forestry MultiTool*","LogOX","copy",1,289,-289,0,0,0,0
"LogOX Hauler Upgrade Package*","LogOX","copy",0,94.95,0,-94.95,0,0,0
"Team LogOX Sticker","LogOX",,96,0,0,0,0,0,0
